Algorithm,Bench_id,m,n,k,Fitness,Execution_Time(s)
GA,scp48,200,1000,134,969,0.18
DFS,scp48,200,1000,134,965,30.01
GA,scp43,200,1000,134,975,0.18
DFS,scp43,200,1000,134,973,30.01
GA,scp45,200,1000,134,968,0.17
DFS,scp45,200,1000,134,971,30.01
GA,scp47,200,1000,134,966,0.17
DFS,scp47,200,1000,134,968,30.01
GA,scp42,200,1000,134,965,0.17
DFS,scp42,200,1000,134,959,30.01
GA,scp410,200,1000,134,965,0.17
DFS,scp410,200,1000,134,973,30.01
GA,scp41,200,1000,134,968,0.18
DFS,scp41,200,1000,134,970,30.01
GA,scp49,200,1000,134,969,0.18
DFS,scp49,200,1000,134,965,30.01
GA,scp44,200,1000,134,964,0.17
DFS,scp44,200,1000,134,965,30.01
GA,scp46,200,1000,134,976,0.18
DFS,scp46,200,1000,134,968,30.01
GA,scpa3,300,3000,200,2963,0.91
DFS,scpa3,300,3000,200,2963,30.03
GA,scpa5,300,3000,200,2977,0.81
DFS,scpa5,300,3000,200,2974,30.03
GA,scpa2,300,3000,200,2968,0.84
DFS,scpa2,300,3000,200,2962,30.03
GA,scpa4,300,3000,200,2963,0.84
DFS,scpa4,300,3000,200,2964,30.03
GA,scpa1,300,3000,200,2969,0.83
DFS,scpa1,300,3000,200,2964,30.03
GA,scpb3,300,3000,200,3000,1.82
DFS,scpb3,300,3000,200,3000,30.03
GA,scpb1,300,3000,200,3000,1.84
DFS,scpb1,300,3000,200,3000,30.03
GA,scpb4,300,3000,200,3000,1.82
DFS,scpb4,300,3000,200,3000,30.03
GA,scpb5,300,3000,200,3000,1.85
DFS,scpb5,300,3000,200,3000,30.03
GA,scpb2,300,3000,200,3000,1.83
DFS,scpb2,300,3000,200,3000,30.03
GA,scpc4,400,4000,267,3991,1.58
DFS,scpc4,400,4000,267,3988,30.06
GA,scpc1,400,4000,267,3989,1.49
DFS,scpc1,400,4000,267,3991,30.06
GA,scpc5,400,4000,267,3993,1.49
DFS,scpc5,400,4000,267,3993,30.06
GA,scpc3,400,4000,267,3993,-0.99
DFS,scpc3,400,4000,267,3987,30.06
GA,scpc2,400,4000,267,3995,1.48
DFS,scpc2,400,4000,267,3990,30.06
